cmdType,cmdSignature,text
text,0001 The Judge (tuto):1:4,"This is the battle screen.
As you can see, you will
find yourself placed on the 
right side of the screen. "
text,0001 The Judge (tuto):1:8,"Meanwhile, your opponent,
in this case your humble servant,
will be placed on the left, positioned
appropriately for single combat."
text,0001 The Judge (tuto):1:12,"As battle begins, you will be given
your first choice: You must decide
between ""Attack"" and ""Auto."" "
text,0001 The Judge (tuto):1:16,"Naturally, ""Attack"" allows you 
to engage your opponent 
in the classical manner. "
text,0001 The Judge (tuto):1:19,"Choose ""Auto,""  and the computer 
will make the strategic decisions 
in your place, rendering you 
a simple spectator."
text,0001 The Judge (tuto):1:23,"Now it is time to put theory into practice.
Choose the word ""Attack"" from the menu
undulating before you, and then select 
my form to slay me with your bat."
text,0001 The Judge (tuto):1:27,"Do not utilize ""Auto"" here. 
The computer would not restrain itself, 
and I fear I would die, taking my secrets
with me to the grave."
text,0001 The Judge (tuto):2:4,"Excellent, my dear sportive companion. 
Remember that the impact of your assault 
is determined by the level of 
both the Batter and his opponent."
text,0001 The Judge (tuto):2:8,"It is also possible for you or 
your adversaries to slyly 
avoid the offensive moves 
you exchange."
text,0001 The Judge (tuto):2:12,"Finally, your iron volition may result
in the occasional critical strike. 
These will cause the teeth to fly 
in heaps, I am sure."
text,0001 The Judge (tuto):2:16,"But let us proceed, if you are ready. 
You may have noticed that, 
when you first chose ""Attack,"" "
text,0001 The Judge (tuto):2:20,"a new window opened itself
at the lower right-hand corner
of the screen."
text,0001 The Judge (tuto):2:23,"Here, you are asked to choose 
from four new options. ""Attack"" will strike
a single blow against, of course,
a single adversary."
text,0001 The Judge (tuto):2:27,"""Competence"" permits you to use 
one of your special talents. 
""Objects"" grants you access 
to the inventory you are carrying."
text,0001 The Judge (tuto):2:31,"There is also ""Flee,"" the coward's option. 
I do not recommend this alternative; 
in any case, it can only be selected 
from the Batter's menu. "
text,0001 The Judge (tuto):2:35,"Now, let us attempt to utilize an object. 
Take this Luck Ticket and graciously 
use it on the Batter's person. "
text,0001 The Judge (tuto):2:41,A Luck Ticket has been found.
text,0001 The Judge (tuto):2:50,"No no no. You really have not
understood me at all. It is enough 
to make one tear one's hair out. I will 
repeat myself; do open your ears."
text,0001 The Judge (tuto):2:54,"Select the ""Attack"" command, and then
yours truly, and watch the Batter deliver
a classical swing of the bat to my teeth."
text,0001 The Judge (tuto):3:7,"I am speaking, of course, of 
your competences. Speaking generally, 
they are special moves that trigger
surprising effects."
text,0001 The Judge (tuto):3:11,"For example, a competence might 
trigger an unusually powerful attack, 
or induce a resurgence of health points."
text,0001 The Judge (tuto):3:14,"In any case, you must remember
that using a competence will consume
some number of competence points."
text,0001 The Judge (tuto):3:17,"So I suggest you wield these skills
with parsimony. With competence points
exhausted, you will find heavy assaults 
impossible to carry out. "
text,0001 The Judge (tuto):3:21,"And if by some mischance you cross
swords with a more-than-worthy opponent
before recovering it, victory will be 
uncertain at best."
text,0001 The Judge (tuto):3:25,"Now then, let us try one. Choose 
""Competence"" and then ""Wide Angle,"" 
a skill that allows you to analyze 
your enemy. "
text,0001 The Judge (tuto):3:39,"No no no. You really have not
understood me at all. It makes one
tear one's hair out. I will repeat
myself; open widely your ears."
text,0001 The Judge (tuto):3:43,"Select the Batter, then the ""Objects""
command. Then, pluck out the Luck
ticket and use it on the Batter. 
Simple!"
text,0001 The Judge (tuto):3:3 (FEMININE),"Impeccable. Your mastery of battle
borders on brilliancy, my friend.
But there is one thing we have
not yet addressed."
text,0001 The Judge (tuto):3:3 (MASCULINE),"Impeccable. Your mastery of battle
borders on brilliancy, my friend.
But there is one thing we have
not yet addressed."
text,0001 The Judge (tuto):4:3,"\C[1]The Judge\C[0]
A cryptic feline of odd appearance.
HP : 300 / CP : 30
No weaknesses/resistances"
text,0001 The Judge (tuto):4:9,"Eh heh heh. Now you have mastered
not only my attributes, but also 
the art of combat."
text,0001 The Judge (tuto):4:12,"Regarding the Wide Angle, keep
in mind that its analysis always 
confines itself to the start
of the battle."
text,0001 The Judge (tuto):4:15,"So it is possible that it will study
adversaries you defeated 
some time ago."
text,0001 The Judge (tuto):4:19,"The confrontation ends, theoretically,
when the health points of you and your 
confreres—or those of your opponents—
fall to zero."
text,0001 The Judge (tuto):4:23,"Do take care of your health 
if you are hoping to pursue 
a career in purification."
text,0001 The Judge (tuto):4:35,"No no no. You really have not
understood me at all. It makes one
tear one's hair out. I will repeat
myself; open widely your ears."
text,0001 The Judge (tuto):4:39,"Select the Batter, then the
""Competence"" command. Next, let your
choice fall on ""Wide Angle"" and
select me for analysis."
text,0001 The Judge (tuto):5:2,"You poor fool, you've drained my 
health points! Now I will die in this 
empty land, where your sacred mission 
ends."
text,0001 Tutorial:1:1,"This is the battle screen.
As you can see, you will
find yourself placed on the 
right side of the screen."
text,0001 Tutorial:1:2,"Meanwhile, your opponent,
in this case your humble servant,
finds himself on the left, positioned
appropriately for single combat."
